BRIN;VESTNR;naam;plaats;SCHOOLJAAR_2013;TOETS_2013;VERSIE_BL_2013;VERSIE_RW_2013;N_AFN_2013;N_AFN_2013_rw;N_DLN_2013;N_DLN_2013_rw;SCORE_2013;SCORE_2013_rw;SCHOOLJAAR_2012;TOETS_2012;VERSIE_BL_2012;VERSIE_RW_2012;N_AFN_2012;N_AFN_2012_rw;N_DLN_2012;N_DLN_2012_rw;SCORE_2012;SCORE_2012_rw;SCHOOLJAAR_2011;TOETS_2011;VERSIE_BL_2011;VERSIE_RW_2011;N_AFN_2011;N_AFN_2011_rw;N_DLN_2011;N_DLN_2011_rw;SCORE_2011;SCORE_2011_rw;DE_special_SCORE_2012;DE_special_SCORE_2012_rw;DE_SPECIAL_SCORE_2011;DE_SPECIAL_SCORE_2011_rw;status;gew03;gew12;ARUBA;DEMOLUKSEEILANDEN;GIEKENLAND;ITALIE;KAAPVERDIE;MAROKKO;NEDERLANDSEANTILLEN;NIETENGELSTALIGEN;PORTUGAL;SPANJE;SURINAME;TUNESIE;TURKIJE;VLUCHTELINGEN;VMLJOEGOSLAVIE;deelnaamper;waretoets;PRE_1;RES_1;verwacht;toegevoegd;waretoets1
00FQ;0,00;Montessoribasisschool De Kraal;Tholen;2013,00;cito;;;12,00;;12,00;;532,00;;2012,00;cito;;;18,00;;17,00;;528,80;;2011,00;entree;;;18,00;;18,00;;286,80;;;;;;18,63;0,07;0,02;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;97,92;-0,90;0,39;-1,28;535,58;-5,22;530,36
00GQ;0,00;reformatorische basisschool Rehoboth;Alphen aan den Rijn;2013,00;cito;;;19,00;;20,00;;532,70;;2012,00;cito;;;26,00;;26,00;;534,80;;2011,00;cito;;;31,00;;31,00;;533,20;;;;;;18,26;0,10;0,02;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;-0,10;0,29;-0,40;535,19;-1,61;533,58
00GR;0,00;Basisschool Kristal;Heerde;2013,00;SEO;;;6,00;;6,00;;0,35;;2012,00;seo;;;10,00;;10,00;;1,70;;2011,00;anders;;;-1,00;;-1,00;;;;;;;;26,59;0,05;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;1,08;0,62;0,46;536,51;1,88;538,40
00GU;0,00;a.b.b.s. De Reinboge;Kubaard;2013,00;cito;;;5,00;;5,00;;534,60;;2012,00;cito;;;7,00;;7,00;;539,30;;2011,00;cito;;;1,00;;1,00;;;;;;;;8,08;0,00;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,77;0,62;0,16;536,51;0,64;537,15
00GV;0,00;basisschool Maria;Vasse;2013,00;cito;;;32,00;;32,00;;530,50;;2012,00;cito;;;25,00;;25,00;;533,30;;2011,00;cito;;;13,00;;13,00;;533,70;;;;;;28,66;0,07;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;-0,36;0,57;-0,93;536,31;-3,77;532,54
00GX;0,00;Basisschool Sint Jacobus;Valburg;2013,00;cito;;;20,00;;20,00;;538,90;;2012,00;cito;;;40,00;;40,00;;539,30;;2011,00;cito;;;22,00;;21,00;;539,90;;;;;;28,99;0,00;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;98,78;1,30;0,82;0,48;537,34;1,97;539,31
00GZ;0,00;Maharishi Basisschool De Fontein;Lelystad;2013,00;cito;;;12,00;;12,00;;531,00;;2012,00;cito;;;8,00;;8,00;;528,70;;2011,00;cito;;;10,00;;10,00;;539,10;;;;;;-14,72;0,00;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;-0,26;0,46;-0,72;535,86;-2,91;532,95
00HA;0,00;Reformatorische Basisschool Augustinus;Ermelo;2013,00;cito;;;45,00;;44,00;;532,60;;2012,00;cito;;;27,00;;27,00;;533,10;;2011,00;cito;;;26,00;;26,00;;536,00;;;;;;23,31;0,13;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;98,98;-0,04;0,27;-0,30;535,10;-1,24;533,86
00HH;0,00;basisschool De Vliete;Wissenkerke;2013,00;cito;;;15,00;;13,00;;533,90;;2012,00;cito;;;16,00;;16,00;;530,90;;2011,00;cito;;;12,00;;12,00;;531,80;;;;;;15,82;0,13;0,04;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,9%;0,0%;95,35;-0,53;0,10;-0,63;534,42;-2,55;531,87
00HZ;0,00;nbbs Jenaplan Klavertje 4;Oudewater;2013,00;lvs;2010 MIDDEN;2009 MIDDEN;34,00;34,00;34,00;34,00;51,80;109,00;2012,00;cito;;;22,00;;21,00;;539,80;;2011,00;cito;;;30,00;;30,00;;537,20;;;;;;24,92;0,00;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;98,84;0,55;0,78;-0,23;537,16;-0,93;536,24
