BEVOEGD GEZAG NUMMER;BRIN NUMMER;INSTELLINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES
10249;16ZQ;Openbare Basisschool De Meent;Eerste Koppelveenweg;2;7881 EG;EMMER-COMPASCUUM;Drenthe;0114;EMMEN;Openbaar;0591351660;www.obs-meent.nl;Eerste Koppelveenweg;2;7881 EG;EMMER-COMPASCUUM
10249;17AE;De Bente Openbare Basisschool;Westerdiep OZ;96;7881 HG;EMMER-COMPASCUUM;Drenthe;0114;EMMEN;Openbaar;0591353320;                                                                                ;Westerdiep OZ;96;7881 HG;EMMER-COMPASCUUM
10249;17BC;Openbare Basisschool De Runde;Runde ZZ;84;7881 HP;EMMER-COMPASCUUM;Drenthe;0114;EMMEN;Openbaar;0591351446;www.obs-runde.nl;Runde ZZ;84;7881 HP;EMMER-COMPASCUUM
10249;17BL;Openbare Basisschool De Dreef;Kanaal A NZ;102;7881 KL;EMMER-COMPASCUUM;Drenthe;0114;EMMEN;Openbaar;0591352653;www.obs-dreef.nl;Kanaal A NZ;102;7881 KL;EMMER-COMPASCUUM
10249;17BU;Openbare Basisschool Erica De Anbrenge;Semsstraat;2;7887 AD;ERICA;Drenthe;0114;EMMEN;Openbaar;0591301824;www.obs-anbrenge.nl;Semsstraat;2;7887 AD;ERICA
10249;17CN;Openbare Basisschool De Planeet;Horizon;76;7891 CV;KLAZIENAVEEN;Drenthe;0114;EMMEN;Openbaar;0591390162;                                                                                ;Horizon;76;7891 CV;KLAZIENAVEEN
10249;17CW;Openbare Basisschool De Spil;Voeghoutenstraat;23;7891 LA;KLAZIENAVEEN;Drenthe;0114;EMMEN;Openbaar;0591390225;                                                                                ;Voeghoutenstraat;23;7891 LA;KLAZIENAVEEN
10249;17DG;OBS De Viersprong;Derksweg;22;7891 PK;KLAZIENAVEEN;Drenthe;0114;EMMEN;Openbaar;0591390170;www.obs-viersprong.nl;Derksweg;22;7891 PK;KLAZIENAVEEN
10249;17DQ;Openbare Basischool De Bascule;Sportlaan;85;7833 CH;NIEUW-AMSTERDAM;Drenthe;0114;EMMEN;Openbaar;0591552042;                                                                                ;Postbus;68;7833 ZH;NIEUW-AMSTERDAM
10249;17EJ;Openbare Basisschool Dordse Til;Walevest;10;7885 AK;NIEUW-DORDRECHT;Drenthe;0114;EMMEN;Openbaar;0591390175;www.obs-dordtsetil.nl;Walevest;10;7885 AK;NIEUW-DORDRECHT
10249;17FU;Openbare Basisschool 't Koppel;Gedempte Achterdiep;9;7831 CJ;NIEUW-WEERDINGE;Drenthe;0114;EMMEN;Openbaar;0591527089;www.obs-koppel.nl;Gedempte Achterdiep;9;7831 CJ;NIEUW-WEERDINGE
10249;17JD;Openbare Basisschool De Dreske;Roswinkelerstraat;131;7895 AR;ROSWINKEL;Drenthe;0114;EMMEN;Openbaar;0591352907;www.obs-dreske.nl;Roswinkelerstraat;131;7895 AR;ROSWINKEL
10249;17KM;Openbare Basisschool 't Swarte Meer;De Blokken;22;7894 CL;ZWARTEMEER;Drenthe;0114;EMMEN;Openbaar;0591390213;www.obs-swartemeer.nl;De Blokken;22;7894 CL;ZWARTEMEER
10249;18HB;Openbare Basiischool De Iemenhof;Spanjaardspad;86;7761 BR;SCHOONEBEEK;Drenthe;0114;EMMEN;Openbaar;0524531231;www.obs-iemenhof.nl;Postbus;30;7760 AA;SCHOONEBEEK
10249;21PS;Openbare Basisschool De Vlonder;Giervalk;20;7827 HX;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591678111;www.obs-vlonder.nl;Giervalk;20;7827 HX;EMMEN
10249;23RM;Openbare Basisschool De Lisdodde;Ganzenveld;85;7827 SE;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591677908;www.obs-lisdodde.nl;Ganzenveld;85;7827 SE;EMMEN
