BEVOEGD GEZAG NUMMER;BRIN NUMMER;INSTELLINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES
77456;03AI;Vrije School De Kleine Prins;Torontostraat;1;7007 BK;DOETINCHEM;Gelderland;0222;DOETINCHEM;Antroposofisch;0314364032;www.vrijeschooldekleineprins.nl;Postbus;447;7000 AK;DOETINCHEM
77456;04FT;Vrije Basisschool De Esch;Rusthuisstraat;28;7101 JH;WINTERSWIJK;Gelderland;0294;WINTERSWIJK;Antroposofisch;0543514595;                                                                                ;Rusthuisstraat;28;7101 JH;WINTERSWIJK
77456;06AF;Vrije School Valentijn;Vliepad;1;3844 EL;HARDERWIJK;Gelderland;0243;HARDERWIJK;Antroposofisch;0341419364;www.vrijeschoolvalentijn.nl;Vliepad;1;3844 EL;HARDERWIJK
77456;06RF;Parcivalschool;Zwanebloemlaan;4;6832 HG;ARNHEM;Gelderland;0202;ARNHEM;Antroposofisch;0263213174;www.parcivalschool.nl;Postbus;30093;6803 AB;ARNHEM
77456;07CX;Vrije School De Vijfster;Texandrilaan;30;7312 HR;APELDOORN;Gelderland;0200;APELDOORN;Antroposofisch;0553559010;www.vrijeschoolapeldoorn.nl;Texandrilaan;30;7312 HR;APELDOORN
77975;29YD;Blink;Jan van Riebeeckstraat;9;4105 BA;CULEMBORG;Gelderland;0216;CULEMBORG;Algemeen bijzonder;0345523698;www.blinkschool.nl;Jan van Riebeeckstraat;9;4105 BA;CULEMBORG
82526;05MG;Prinses Julianaschool;Tullekensmolenweg;77;7364 BA;LIEREN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555061460;                                                                                ;Tullekensmolenweg;77;7364 BA;LIEREN
82526;15HH;Basisschool de Bouwhof;Nijenbeek;8;7339 KP;UGCHELEN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555422100;                                                                                ;Nijenbeek;8;7339 KP;UGCHELEN
82526;15KD;Basisschool de Touwladder;Bogaardslaan;75;7339 AN;UGCHELEN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555332585;                                                                                ;Bogaardslaan;75;7339 AN;UGCHELEN
82526;17CJ;De Ontdekking;Schopenhauerstraat;277;7323 MB;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0553663540;                                                                                ;Schopenhauerstraat;277;7323 MB;APELDOORN
82526;17CU;Protestants Christelijke Basisschool De Ploeg;Burgersveld;24;7327 CA;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555411335;www.ploeg.pcboapeldoorn.nl;Burgersveld;24;7327 CA;APELDOORN
82526;17DC;Protestants Christelijke Basisschool De Terebint;Rederijkershoeve;19;7326 TH;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555414188;www.terebint.pcboapeldoorn.nl;Rederijkershoeve;19;7326 TH;APELDOORN
82526;17DX;Protestants Christelijke Basisschool De Kring;Voldersdreef;303;7328 CA;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555334146;www.kring.pcboapeldoorn.nl;Postbus;3309;7302 ES;APELDOORN
82526;17EG;Protestants Christelijke Basisschool Koningin Juliana;Loseweg;70;7315 BG;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555214215;                                                                                ;Loseweg;70;7315 BG;APELDOORN
82526;17EQ;Protestants Christelijke Basisschool De Fakkel;Roerdompweg;3;7331 CL;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555334248;                                                                                ;Roerdompweg;3;7331 CL;APELDOORN
82526;17FA;Protestants Chistelijke Basisschool Willem Van Oranje;Kobaltstraat;15;7334 AL;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555331221;                                                                                ;Kobaltstraat;15;7334 AL;APELDOORN
82526;17FK;P.C. Basisschool De Diamant in het Kristal;Laan van de Charleston;71;7323 RV;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0557630402;www.diamant.pcboapeldoorn.nl;Laan van de Charleston;71;7323 RV;APELDOORN
82526;17GU;PC Basisschool De Gong - Matendonk;Koperslagersdonk;4;7326 HM;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555422293;www.gong.pcboapeldoorn.nl/nieuw/;Koperslagersdonk;4;7326 HM;APELDOORN
82526;17KW;Koningin Emma Protestants Christelijke Basisschool;Thorbeckestraat;8;7331 RG;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555333769;www.emma.apeldoorn-onderwijs.nl;Thorbeckestraat;8;7331 RG;APELDOORN
82526;17LT;Protestants Christelijke Basisschool Het Kompas;1e Wormenseweg;460;7333 GZ;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555334405;kompas.pcboapeldoorn.nl;1e Wormenseweg;460;7333 GZ;APELDOORN
82526;17MK;Protestants Christelijke Basisschool De Rank;Boerhaavestraat;111;7316 LE;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555218071;                                                                                ;Boerhaavestraat;111;7316 LE;APELDOORN
82526;17MZ;Protestants Christelijke Montessorischool Passe-Partout;Lange Grafte;37;7321 ZC;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0553555352;                                                                                ;Lange Grafte;37;7321 ZC;APELDOORN
82526;17NM;PC Basisschool Prinses Margriet;Sluisoordlaan;198;7322 EL;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0553665294;                                                                                ;Sluisoordlaan;198;7322 EL;APELDOORN
82526;17NW;Protestants Christelijke Basisschool Ichthus;Kalmoesstraat;261;7322 NS;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0553666057;www.ichthus.pcboapeldoorn.nl;Kalmoesstraat;261;7322 NS;APELDOORN
82526;17OM;Protestants Christelijke Basisschool Princes Beatrix;Papegaaiweg;95;7345 DL;WENUM WIESEL;Gelderland;0200;APELDOORN;Protestants-Christelijk;0553121977;                                                                                ;Papegaaiweg;95;7345 DL;WENUM WIESEL
82526;17PC;Protestants Christelijke Basisschool Beemte;Beemterweg;31;7341 PC;BEEMTE BROEKLAND;Gelderland;0200;APELDOORN;Protestants-Christelijk;0553121377;                                                                                ;Beemterweg;31;7341 PC;BEEMTE BROEKLAND
82526;17PR;Pc Basissch De Wegwijzer;Eburonenstraat;48;7312 JR;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0553554624;www.wegwijzer.cms.sintact.nl;Eburonenstraat;48;7312 JR;APELDOORN
82526;17QV;Koningin Wilhelmina School Protestants Christlijke Basisschool;Prof. Rontgenstraat;10;7311 AM;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555212389;www.kws.pcboapeldoorn.nl;Prof. Rontgenstraat;10;7311 AM;APELDOORN
82526;17RJ;Protestants Christelijke Basisschool De Korenaar;Staringlaan;53;7314 LN;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0553554162;www.korenaar.apeldoorn-onderwijs.nl;Staringlaan;53;7314 LN;APELDOORN
82526;17SJ;Protestants Christelijke Basisschool De Sjofar;Glazeniershorst;404;7328 TK;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555337856;                                                                                ;Glazeniershorst;404;7328 TK;APELDOORN
82526;24BF;PC Basisschool Regenboog - Woudhuis;Lage Landenlaan;1;7325 NR;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0553667288;                                                                                ;Lage Landenlaan;1;7325 NR;APELDOORN
82526;27NW;PC Basisschool Regenboog - Osseveld;De Keerkring;70;7325 EA;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0555060541;                                                                                ;De Keerkring;70;7325 EA;APELDOORN
82526;30AR;De Diamant in Het Rooster;Symfoniestraat;8;7323 KV;APELDOORN;Gelderland;0200;APELDOORN;Protestants-Christelijk;0553665671;                                                                                ;Symfoniestraat;8;7323 KV;APELDOORN
82591;07DG;Protestants Christelijke Basisschool De Klokkenberg;Kopseweg;7;6522 KB;NIJMEGEN;Gelderland;0268;NIJMEGEN;Protestants-Christelijk;0243229220;www.deklokkenberg.nl;Kopseweg;7;6522 KB;NIJMEGEN
82786;07DK;Basisschool 't Kempken;Beuksveld;6;7104 BD;WINTERSWIJK MEDDO;Gelderland;0294;WINTERSWIJK;Algemeen bijzonder;0543569406;www.tkempken.nl;Beuksveld;6;7104 BD;WINTERSWIJK MEDDO
83579;07EK;Nederlands Hervormde Basisschool De Zaaier;Broekhuizenstraat;10;3784 WT;TERSCHUUR;Gelderland;0203;BARNEVELD;Protestants-Christelijk;0342461667;www.bsdezaaier.nl;Broekhuizenstraat;10;3784 WT;TERSCHUUR
83579;11FI;Schimmelpenninck van de Oijeschool;Oosterdorpsstraat;16;3871 AD;HOEVELAKEN;Gelderland;0267;NIJKERK;Protestants-Christelijk;0332535745;www.svdohoevelaken.nl;Oosterdorpsstraat;16;3871 AD;HOEVELAKEN
83579;12QO;Basisschool Koningin Juliana;Dr Albert Schweitzerlaan;10;3771 XM;BARNEVELD;Gelderland;0203;BARNEVELD;Protestants-Christelijk;0342412165;www.kjsbarneveld.nl;Dr Albert Schweitzerlaan;10;3771 XM;BARNEVELD
83579;13JA;Basisschool Prins Willem Alexander;Valkhof;90;3772 EE;BARNEVELD;Gelderland;0203;BARNEVELD;Protestants-Christelijk;0342415634;www.pwabarneveld.nl;Valkhof;90;3772 EE;BARNEVELD
83579;13OA;Basisschool Prinses Beatrix;Postweg;15;3794 MJ;DE GLIND;Gelderland;0203;BARNEVELD;Protestants-Christelijk;0342451458;www.pbsdeglind.nl;Postweg;15;3794 MJ;DE GLIND
83579;24RN;Willem van Oranje School Hervormde School Basisonderwijs;Lange Voren;88;3773 AS;BARNEVELD;Gelderland;0203;BARNEVELD;Protestants-Christelijk;0342490651;www.wvobarneveld.nl;Lange Voren;88;3773 AS;BARNEVELD
83579;30RJ;Hervormde Basisschool Prinses Amalia;Nederwoudseweg;23;3772 TD;BARNEVELD;Gelderland;0203;BARNEVELD;Protestants-Christelijk;0342424683;                                                                                ;Nederwoudseweg;23;3772 TD;BARNEVELD
83656;07XX;Basisschool Prins Willem Alexander;Zuiderzeestraatweg Oost;62;8081 LD;ELBURG;Gelderland;0230;ELBURG;Protestants-Christelijk;0525681789;www.pwa-oostendorp.nl;Zuiderzeestraatweg Oost;62;8081 LD;ELBURG
83968;05NP;Koepelschool;Nieuwe Maanderbuurtweg;2;6717 AS;EDE GLD;Gelderland;0228;EDE;Protestants-Christelijk;0318630564;www.koepelschool;Nieuwe Maanderbuurtweg;2;6717 AS;EDE GLD
83968;07YC;Veldhuizerschool;Kraatsweg;11;6712 DA;EDE GLD;Gelderland;0228;EDE;Protestants-Christelijk;0318615269;www.veldhuizerschool.nl;Kraatsweg;11;6712 DA;EDE GLD
83968;09BT;Paasbergschool;Kleefsehoek;1-A;6711 SP;EDE GLD;Gelderland;0228;EDE;Protestants-Christelijk;0318616670;www.paasbergschool.nl;Kleefsehoek;1-A;6711 SP;EDE GLD
84046;05NS;Protestants Christelijke Basisschool De Triangel;Debussystraat;2;6961 BN;EERBEEK;Gelderland;0213;BRUMMEN;Protestants-Christelijk;0313651042;www.triangelebk.nl;Debussystraat;2;6961 BN;EERBEEK
84046;07YE;Basisschool De Enk;T.M.C. Asserstraat;28;6961 XB;EERBEEK;Gelderland;0213;BRUMMEN;Protestants-Christelijk;0313651796;www.de-enk-eerbeek.nl;T.M.C. Asserstraat;28;6961 XB;EERBEEK
84215;05NW;Christelijke Basisschool;Stationsweg;87;8166 KA;EMST;Gelderland;0232;EPE;Protestants-Christelijk;0578661288;                                                                                ;Stationsweg;87;8166 KA;EMST
84423;09YJ;Koningin Beatrixschool;Kosterijweg;7;3774 BG;KOOTWIJKERBROEK;Gelderland;0203;BARNEVELD;Protestants-Christelijk;0342442000;www.kbskootwijkerbroek.nl;Kosterijweg;7;3774 BG;KOOTWIJKERBROEK
84423;10QQ;Christelijke Basisschool Prins Bernhard;Dr. H.C. Bosstraat;25;3886 KA;GARDEREN;Gelderland;0203;BARNEVELD;Protestants-Christelijk;0577461355;www.pbsgarderen.nl;Dr. H.C. Bosstraat;25;3886 KA;GARDEREN
84423;11FD;De Bron;Stroeerweg;76;3776 MK;STROE;Gelderland;0203;BARNEVELD;Protestants-Christelijk;0342442250;www.debronstroe.nl;Stroeerweg;76;3776 MK;STROE
84787;05OK;Protestants Christelijke Basisschool Het Mosterdzaadje;Oranjeweg;116;8166 JD;EMST;Gelderland;0232;EPE;Reformatorisch;0578661863;www.cbshetmosterdzaadje.nl;Oranjeweg;116;8166 JD;EMST
85476;09CE;CBS De Parel;Zuiderzeestraatweg;145;3849 AD;HIERDEN;Gelderland;0243;HARDERWIJK;Protestants-Christelijk;0341451295;www.schoolhierden.nl;Zuiderzeestraatweg;145;3849 AD;HIERDEN
85476;20GY;Basisschool het Baken;Vliepad;5;3844 EL;HARDERWIJK;Gelderland;0243;HARDERWIJK;Protestants-Christelijk;0341416645;                                                                                ;Vliepad;5;3844 EL;HARDERWIJK
85476;20HF;PC BS De Schakel;Vondellaan;26;3842 EH;HARDERWIJK;Gelderland;0243;HARDERWIJK;Protestants-Christelijk;0341416557;www.cbsdeschakelharderwijk.nl;Vondellaan;26;3842 EH;HARDERWIJK
85476;20HH;Basisschool de Wegwijzer;Kennedylaan;1;3844 BA;HARDERWIJK;Gelderland;0243;HARDERWIJK;Protestants-Christelijk;0341416780;www.cbsdewegwijzerhw.nl;Kennedylaan;1;3844 BA;HARDERWIJK
85476;20HJ;Basisschool De Brug;Piet Heinlaan;22;3843 EZ;HARDERWIJK;Gelderland;0243;HARDERWIJK;Protestants-Christelijk;0341416576;www.cbs-de-brug.com;Piet Heinlaan;22;3843 EZ;HARDERWIJK
85476;20HK;Basisschool het Kompas;Lovinkstraat;13;3841 KE;HARDERWIJK;Gelderland;0243;HARDERWIJK;Protestants-Christelijk;0341416622;www.cbs-het-kompas.nl;Postbus;251;3840 AG;HARDERWIJK
85476;20HL;Basisschool de Rank;Bongerdsteeg;1;3841 CV;HARDERWIJK;Gelderland;0243;HARDERWIJK;Protestants-Christelijk;0341416748;www.cbs-de-rank.nl;Bongerdsteeg;1;3841 CV;HARDERWIJK
85476;20HM;Basisschool Willem Alexander;Veldkamp;33;3843 BG;HARDERWIJK;Gelderland;0243;HARDERWIJK;Protestants-Christelijk;0341416770;www.cbswillemalexander.nl;Veldkamp;33;3843 BG;HARDERWIJK
85476;23CH;Christelijke basisschool  De Bron;Frankenskamp;4;3848 DE;HARDERWIJK;Gelderland;0243;HARDERWIJK;Protestants-Christelijk;0341426704;                                                                                ;Postbus;209;3840 AE;HARDERWIJK
85476;25GJ;Basisschool de Triangel;Tonselsedreef;60;3845 CT;HARDERWIJK;Gelderland;0243;HARDERWIJK;Protestants-Christelijk;0341433965;www.cbsdetriangel.nl;Tonselsedreef;60;3845 CT;HARDERWIJK
85476;27XG;C.B.S. Het Startblok;Biezenplein;2;3845 KA;HARDERWIJK;Gelderland;0243;HARDERWIJK;Protestants-Christelijk;0341430921;www.cbshetstartblok.nl;Biezenplein;2;3845 KA;HARDERWIJK
86802;07ZH;Basisschool Prinses Beatrix;Hoefslag;18;8077 SZ;HULSHORST;Gelderland;0302;NUNSPEET;Protestants-Christelijk;0341451867;www.debeatrixschoolhulshorst.nl;Hoefslag;18;8077 SZ;HULSHORST
87920;07ZT;Christelijke Basisschool Nederwoud;Kruisbeekweg;45;6741 NE;LUNTEREN;Gelderland;0228;EDE;Protestants-Christelijk;0318482204;www.cbsnederwoudlunteren.nl;Kruisbeekweg;45;6741 NE;LUNTEREN
87920;09YR;De Bron;Postweg;7;6741 BA;LUNTEREN;Gelderland;0228;EDE;Protestants-Christelijk;0318482526;www.debronlunteren.nl;Postbus;61;6740 AB;LUNTEREN
87920;10QZ;De Wegwijzer;Kerkhoflaan;27;6741 BN;LUNTEREN;Gelderland;0228;EDE;Protestants-Christelijk;0318482122;www.dewegwijzerlunteren.nl;Kerkhoflaan;27;6741 BN;LUNTEREN
89155;07EP;Christelijke Basisschool De Appelgaard;Barneveldseweg;182;3862 PD;NIJKERK GLD;Gelderland;0267;NIJKERK;Protestants-Christelijk;0342461632;www.hsn-scholen.nl;Barneveldseweg;182;3862 PD;NIJKERK GLD
89155;08AD;Basisschool Joh Calvijn;Winkelmanstraat;5;3864 ER;NIJKERKERVEEN;Gelderland;0267;NIJKERK;Protestants-Christelijk;0332571623;www.hsn-scholen.nl/calvijn;Winkelmanstraat;5;3864 ER;NIJKERKERVEEN
89155;10RC;Rehobothschool;Brink;43-A;3861 VA;NIJKERK GLD;Gelderland;0267;NIJKERK;Protestants-Christelijk;0332451709;www.hsn-scholen.nl;Brink;43-A;3861 VA;NIJKERK GLD
89155;11RK;Maranathaschool;Grieglaan;4;3862 GV;NIJKERK GLD;Gelderland;0267;NIJKERK;Protestants-Christelijk;0332451413;www.hsn-scholen.nl/maranatha;Grieglaan;4;3862 GV;NIJKERK GLD
89155;23UC;Ichthusschool;Cornelis van Ramshorstln;3;3863 AZ;NIJKERK GLD;Gelderland;0267;NIJKERK;Protestants-Christelijk;0332462242;www.ichthus.hsn-scholen.nl;Cornelis van Ramshorstln;3;3863 AZ;NIJKERK GLD
89532;15DP;School met de Bijbel de Wegwijzer;Schiksweg;12;8097 SG;OOSTERWOLDE GLD;Gelderland;0269;OLDEBROEK;Reformatorisch;0525621300;www.cnsdewegwijzer.nl;Schiksweg;12;8097 SG;OOSTERWOLDE GLD
90130;05SG;Juliana van Stolbergschool;Dorpsweg;2;5307 HK;POEDEROIJEN;Gelderland;0297;ZALTBOMMEL;Reformatorisch;0418671315;www.julianavanstolberg.com;Dorpsweg;2;5307 HK;POEDEROIJEN
90169;05SJ;Protestants Christelijk Basisonderwijs De Wegwijzer;Groeneveltstraat;127;3882 XE;PUTTEN;Gelderland;0273;PUTTEN;Protestants-Christelijk;0341353104;www.wegwijzerputten.nl;Groeneveltstraat;127;3882 XE;PUTTEN
90169;09CU;Protestants Christelijk Basisschool De Pelikaan;Boekweitstraat;24;3882 GN;PUTTEN;Gelderland;0273;PUTTEN;Protestants-Christelijk;0341357799;www.pcbdepelikaan.nl;Boekweitstraat;24;3882 GN;PUTTEN
90169;09ZA;Protestants Christelijk Basisonderwijs Hoef;Leembruggerweg;1;3882 RV;PUTTEN;Gelderland;0273;PUTTEN;Protestants-Christelijk;0341351612;www.pcbhoef.nl;Leembruggerweg;1;3882 RV;PUTTEN
92626;05UE;Goede Herderschool voor Protestants Christelijk Basisonderwijs;Vinkenweg;8;8191 XN;WAPENVELD;Gelderland;0246;HEERDE;Protestants-Christelijk;0384478260;www.bsdegoedeherder.nl;Vinkenweg;8;8191 XN;WAPENVELD
92626;08BJ;cbs De Parel;Klapperdijk;35;8191 AC;WAPENVELD;Gelderland;0246;HEERDE;Protestants-Christelijk;0384478205;www.bsdeparel.nl;Klapperdijk;35;8191 AC;WAPENVELD
92639;05UF;Ds van Maasschool;Flessenbergerweg;39;8191 LH;WAPENVELD;Gelderland;0246;HEERDE;Protestants-Christelijk;0384478649;www.vanmaasschool.nl;Postbus;21;8190 AA;WAPENVELD
94108;05VM;Christelijke Basisschool Met De Bijbel;Schoolstraat;8;5305 EA;ZUILICHEM;Gelderland;0297;ZALTBOMMEL;Protestants-Christelijk;0418672466;www.smdbzuilichem.nl;Schoolstraat;8;5305 EA;ZUILICHEM
95395;05VS;Instituut Van Kinsbergen;Arent toe Boecoplaan;41;8081 VZ;ELBURG;Gelderland;0230;ELBURG;Algemeen bijzonder;0525681295;www.vankinsbergenschool.nl;Arent toe Boecoplaan;41;8081 VZ;ELBURG
98190;08CQ;G J Van Den Brinkschool;Oude Eekmolenweg;30;6706 AP;WAGENINGEN;Gelderland;0289;WAGENINGEN;Algemeen bijzonder;0317413395;www.brinkschool.nl;Oude Eekmolenweg;30;6706 AP;WAGENINGEN
10426;13TY;De Tweemaster;Aalbersestraat;2;9602 TC;HOOGEZAND;Groningen;0018;HOOGEZAND-SAPPEMEER;Openbaar;0598320368;www.detweemasterhoogezand.nl;Postbus;525;9600 AM;HOOGEZAND
10426;13XI;Het Ruimteschip;Astronautenlaan;33;9602 EN;HOOGEZAND;Groningen;0018;HOOGEZAND-SAPPEMEER;Openbaar;0598321376;www.hetruimteschip.nl;Postbus;526;9600 AM;HOOGEZAND
10426;14DW;Nico Bulderschool;Zonneweg;4;9602 LN;HOOGEZAND;Groningen;0018;HOOGEZAND-SAPPEMEER;Openbaar;0598395696;www.nicobulderschool.nl;Postbus;527;9600 AM;HOOGEZAND
10426;14GQ;W A Scholten-School;Pluvierstraat;13;9607 RJ;FOXHOL;Groningen;0018;HOOGEZAND-SAPPEMEER;Openbaar;0598393699;www.wascholtenschool.nl;Postbus;87;9600 AB;HOOGEZAND
10426;14JG;J. Albrondaschool;Pieter Venemakade;59;9605 PL;KIEL-WINDEWEER;Groningen;0018;HOOGEZAND-SAPPEMEER;Openbaar;0598491742;www.albrondaschool.nl;Postbus;528;9600 AM;HOOGEZAND
10426;14LT;Walstraschool;Woldweg;124;9606 PH;KROPSWOLDE;Groningen;0018;HOOGEZAND-SAPPEMEER;Openbaar;0598351677;www.walstraschool.kropswolde.kennisnet.nl;Postbus;96;9600 AB;HOOGEZAND
10426;14XP;Jan Ligthartschool;Oudeweg;74;9608 PN;WESTERBROEK;Groningen;0018;HOOGEZAND-SAPPEMEER;Openbaar;0598351485;www.janligthartschool.info;Postbus;530;9600 AM;HOOGEZAND
10426;15KI;Van Heemskerck School;Jan Huitzingstraat;4;9601 AR;HOOGEZAND;Groningen;0018;HOOGEZAND-SAPPEMEER;Openbaar;0598396100;www.vanheemskerckschool.nl;Postbus;521;9600 AM;HOOGEZAND
10426;15MW;Theo Thyssenschool;Boswijkslaan;2;9611 HZ;SAPPEMEER;Groningen;0018;HOOGEZAND-SAPPEMEER;Openbaar;0598396842;www.theothijssenschool-sappemeer.nl;Postbus;92;9610 AB;SAPPEMEER
10426;15RT;'t Heidemeer;Arie Bosscherstraat;32;9611 EN;SAPPEMEER;Groningen;0018;HOOGEZAND-SAPPEMEER;Openbaar;0598394045;www.obsheidemeer.nl;Postbus;58;9610 AB;SAPPEMEER
10925;12CN;De Clockeslach;Smederij;12;9541 AX;VLAGTWEDDE;Groningen;0048;VLAGTWEDDE;Openbaar;0599345688;www.declockeslach.nl;Smederij;12;9541 AX;VLAGTWEDDE
10925;12LO;Openbare Basisschool de Klimop;Ter Apelkanaal Oost;113-A;9563 RE;TER APELKANAAL;Groningen;0048;VLAGTWEDDE;Openbaar;0599416425;www.deklimoptak.nl;Ter Apelkanaal Oost;113-A;9563 RE;TER APELKANAAL
10925;12TR;OBS De Vlinder;Jan Westerlaan;3;9561 GN;TER APEL;Groningen;0048;VLAGTWEDDE;Openbaar;0599583477;www.obsdevlinder.nl;Postbus;28;9560 AA;TER APEL
10925;13FU;Basisschool op de Esch;Korteweg;2;9551 BM;SELLINGEN;Groningen;0048;VLAGTWEDDE;Openbaar;0599322548;                                                                                ;Korteweg;2;9551 BM;SELLINGEN
10925;13KZ;Basisschool Plaggenborg;Wollinghuizerweg;27;9551 TG;SELLINGEN;Groningen;0048;VLAGTWEDDE;Openbaar;0599326300;www.obsplaggenborg.nl;Wollinghuizerweg;27;9551 TG;SELLINGEN
10925;13TU;Willem Lodewijck;Willem Lodewijkstraat;19;9545 PA;BOURTANGE;Groningen;0048;VLAGTWEDDE;Openbaar;0599354448;                                                                                ;Willem Lodewijkstraat;19;9545 PA;BOURTANGE
13683;03DF;Openbare Basisschool Kromme Akkers;Hunzeweg;68;9893 PD;GARNWERD;Groningen;0053;WINSUM;Openbaar;0594628000;www.krommeakkers.nl;Hunzeweg;68;9893 PD;GARNWERD
13683;03DG;Openbare School Klinkenborg;Pastorieweg;6;9995 PN;KANTENS;Groningen;1651;EEMSMOND;Openbaar;0595551788;www.obsklinkenborg.nl;Pastorieweg;6;9995 PN;KANTENS
13683;03EI;openbare basisschool Usquert;Burg Geerlingstraat;2;9988 SC;USQUERT;Groningen;1651;EEMSMOND;Openbaar;0595423690;www.obsusquert.nl;Burg Geerlingstraat;2;9988 SC;USQUERT
13683;06AL;Samenwerkingsschool Op Wier;Schoolstraat;28;9891 BE;EZINGE;Groningen;0053;WINSUM;Openbaar;0594628001;www.opwier.nl;Schoolstraat;28;9891 BE;EZINGE
13683;06AO;Openbare Dalton Basis School Nijenstein;Onnemaweg;1;9997 NG;ZANDEWEER;Groningen;1651;EEMSMOND;Openbaar;0595433344;www.odbsnijenstein.nl;Onnemaweg;1;9997 NG;ZANDEWEER
13683;06DD;openbare basisschool Mathenesse;Meijmaweg;9-A;9955 VC;RASQUERT;Groningen;0053;WINSUM;Openbaar;0595423825;www.obsmathenesse.nl;Meijmaweg;9-A;9955 VC;RASQUERT
13683;07GX;Openbare Basisschool Lydinge;Mr J S van Weerdenstraat;18-A;9965 RE;LEENS;Groningen;1663;DE MARNE;Openbaar;0595572257;www.obslydinge.nl;Postbus;10;9965 ZG;LEENS
13683;08FW;openbare basisschool De Negen Wieken;Het Hooge Heem;1;9951 BT;WINSUM GN;Groningen;0053;WINSUM;Openbaar;0595441269;www.de9wieken.nl;Het Hooge Heem;1;9951 BT;WINSUM GN
13683;09GB;Openbare basisschool Tiggeldobbe;Zadelmakerij;6;9951 JM;WINSUM GN;Groningen;0053;WINSUM;Openbaar;0595441831;www.tiggeldobbe.nl;Zadelmakerij;6;9951 JM;WINSUM GN
13683;11UJ;Openbare Basisschool Roodschoul;Ripperdahof;2;9983 PX;ROODESCHOOL;Groningen;1651;EEMSMOND;Openbaar;0595413394;www.obsroodschoul.nl;Postbus;2;9983 ZG;ROODESCHOOL
13683;12ED;Openbare Basisschool Brunwerd;M.J. Bultenastraat;8;9981 JB;UITHUIZEN;Groningen;1651;EEMSMOND;Openbaar;0595432148;www.brunwerd.nl;M.J. Bultenastraat;8;9981 JB;UITHUIZEN
13683;18EG;OBS De Wierde;Kleine Straat;8;9774 PN;ADORP;Groningen;0053;WINSUM;Openbaar;0503061261;www.obsdewierde.nl;Kleine Straat;8;9774 PN;ADORP
13683;18GA;openbare basisschool FH Jansenius De Vries;Westervalge;5;9989 EB;WARFFUM;Groningen;1651;EEMSMOND;Openbaar;0595422330;www.janseniusdevries.nl;Postbus;3;9989 ZG;WARFFUM
13683;18HF;Basisschool Mandegoud;Halsemastraat;6-B;9977 SE;KLOOSTERBUREN;Groningen;1663;DE MARNE;Openbaar;0595481747;www.mandegoud.nl;Halsemastraat;6-B;9977 SE;KLOOSTERBUREN
13683;18LG;Openbare Basisschool Solte Campe;De Schuit;11;9974 NA;ZOUTKAMP;Groningen;1663;DE MARNE;Openbaar;0595401566;www.soltecampe.nl;Postbus;17;9974 ZG;ZOUTKAMP
13683;19KB;openbare basisschool De Octopus;Hunse;2;9967 PS;EENRUM;Groningen;1663;DE MARNE;Openbaar;0595492080;www.octopuseenrum.nl;Hunse;2;9967 PS;EENRUM
13683;19LH;openbare basisschool De Getyden;Frederiksoordweg;26-D;9968 AL;PIETERBUREN;Groningen;1663;DE MARNE;Openbaar;0595528520;www.degetijden.nl;Frederiksoordweg;26-D;9968 AL;PIETERBUREN
34789;04OE;Chr Jenaplanschool De Kring;Nieuweweg;57-B;9364 PB;NUIS;Groningen;0025;MARUM;Protestants-Christelijk;0594585810;www.sterrenpad.nl;Postbus;80;3360 AB;SLIEDRECHT
