BRIN,financieel,overig
07IH,Basistoezicht,Basistoezicht
04RH,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
04JR,Basistoezicht,Basistoezicht
07LR,Basistoezicht,Basistoezicht
06KN,Basistoezicht,Basistoezicht
03YY,Basistoezicht,Basistoezicht
03XE,Basistoezicht,Basistoezicht
00EI,Basistoezicht,Basistoezicht
04LN,Basistoezicht,Basistoezicht
28BJ,Basistoezicht,Basistoezicht
23RG,Basistoezicht,Basistoezicht
13PA,Basistoezicht,Basistoezicht
12RU,Basistoezicht,Basistoezicht
12JI,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11OT,Basistoezicht,Basistoezicht
10WI,Basistoezicht,Basistoezicht
09JK,Basistoezicht,Basistoezicht
08JL,Basistoezicht,Basistoezicht
06FA,Basistoezicht,Basistoezicht
11VO,Basistoezicht,Basistoezicht
28CL,Basistoezicht,Basistoezicht
26AF,Basistoezicht,Basistoezicht
24NZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
23CK,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18BJ,Basistoezicht,Zeer zwak
18BG,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18BB,Basistoezicht,Basistoezicht
18AX,Basistoezicht,Basistoezicht
18AU,Basistoezicht,Basistoezicht
18AP,Basistoezicht,Basistoezicht
18AK,Basistoezicht,Basistoezicht
18AH,Basistoezicht,Basistoezicht
18AA,Basistoezicht,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17ZU,Basistoezicht,Basistoezicht
17ZO,Basistoezicht,Basistoezicht
17ZI,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17ZD,Basistoezicht,Basistoezicht
17YR,Basistoezicht,Basistoezicht
17UE,Basistoezicht,Basistoezicht
17TZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17TU,Basistoezicht,Basistoezicht
17TP,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17TF,Basistoezicht,Basistoezicht
17SW,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17SL,Basistoezicht,Basistoezicht
17RX,Basistoezicht,Basistoezicht
17RL,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17LU,Basistoezicht,Basistoezicht
17FC,Basistoezicht,Basistoezicht
17ES,Basistoezicht,Basistoezicht
17EA,Basistoezicht,Basistoezicht
17DP,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17DF,Basistoezicht,Basistoezicht
17CM,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17CB,Basistoezicht,Zwak
17AP,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17AB,Basistoezicht,Basistoezicht
16ZM,Basistoezicht,Basistoezicht
16YW,Basistoezicht,Basistoezicht
16KS,Basistoezicht,Basistoezicht,Zwak, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16KS,Basistoezicht,Basistoezicht,Zwak, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16IL,Basistoezicht,Basistoezicht
16HC,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16FT,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16EL,Basistoezicht,Basistoezicht
16DB,Basistoezicht,Basistoezicht
16BO,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16BO,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08YU,Geen oordeel,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
07JG,Basistoezicht,Basistoezicht
05JC,Basistoezicht,Basistoezicht
05DG,Basistoezicht,Basistoezicht
03NB,Basistoezicht,Basistoezicht
03HE,Basistoezicht,Basistoezicht
12RM,Basistoezicht,Basistoezicht
11ZQ,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11QH,Basistoezicht,Basistoezicht
11OJ,Basistoezicht,Basistoezicht
11BQ,Basistoezicht,Basistoezicht
09VR,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
09ST,Basistoezicht,Basistoezicht
08UO,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08SP,Basistoezicht,Basistoezicht
08JF,Basistoezicht,Basistoezicht
18JG,Basistoezicht,Basistoezicht
18HG,Basistoezicht,Basistoezicht
22MD,Basistoezicht,Basistoezicht
20DV,Basistoezicht,Basistoezicht
20DJ,Basistoezicht,Basistoezicht
20CV,Basistoezicht,Basistoezicht
20CB,Basistoezicht,Basistoezicht
19AT,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19AC,Basistoezicht,Basistoezicht
18ZQ,Basistoezicht,Basistoezicht
18ZC,Basistoezicht,Basistoezicht
10ZF,Basistoezicht,Basistoezicht
10JH,Basistoezicht,Basistoezicht
09WF,Basistoezicht,Basistoezicht
09TX,Basistoezicht,Basistoezicht
08VV,Basistoezicht,Basistoezicht
07RV,Basistoezicht,Basistoezicht
30WX,Basistoezicht,Geen oordeel
27PX,Basistoezicht,Basistoezicht
27CH,Basistoezicht,Basistoezicht
27CG,Basistoezicht,Basistoezicht
26PT,Basistoezicht,Basistoezicht
26AY,Basistoezicht,Basistoezicht
26AW,Basistoezicht,Basistoezicht
19VU,Basistoezicht,Basistoezicht
19VL,Basistoezicht,Basistoezicht
19VA,Basistoezicht,Basistoezicht
19UJ,Basistoezicht,Basistoezicht
19TM,Basistoezicht,Basistoezicht
19SG,Basistoezicht,Basistoezicht
16FS,Basistoezicht,Basistoezicht
16DA,Basistoezicht,Basistoezicht
15ZZ,Basistoezicht,Basistoezicht
15XZ,Basistoezicht,Basistoezicht
15VU,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15TL,Basistoezicht,Basistoezicht
13ZY,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13ZE,Basistoezicht,Basistoezicht
13WM,Basistoezicht,Basistoezicht
13VQ,Geen oordeel,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13TA,Basistoezicht,Basistoezicht
13RY,Basistoezicht,Basistoezicht
13OW,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13JV,Basistoezicht,Basistoezicht
13IL,Basistoezicht,Basistoezicht
13EK,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12JQ,Basistoezicht,Basistoezicht
10NH,Basistoezicht,Basistoezicht
09WY,Basistoezicht,Basistoezicht
08ZU,Basistoezicht,Basistoezicht
08VR,Basistoezicht,Basistoezicht
08QB,Basistoezicht,Basistoezicht
08NF,Basistoezicht,Basistoezicht
07SP,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
07LY,Basistoezicht,Basistoezicht
07DP,Basistoezicht,Basistoezicht
07CQ,Basistoezicht,Basistoezicht
06KA,Basistoezicht,Basistoezicht
05HC,Basistoezicht,Basistoezicht
04ZT,Basistoezicht,Basistoezicht
03PY,Basistoezicht,Basistoezicht
08JC,Basistoezicht,Basistoezicht
06DN,Basistoezicht,Basistoezicht
06NZ,Basistoezicht,Basistoezicht
00GQ,Basistoezicht,Zwak
10VK,Basistoezicht,Basistoezicht
10DW,Basistoezicht,Basistoezicht
09IH,Basistoezicht,Basistoezicht
08IH,Basistoezicht,Basistoezicht
05SP,Basistoezicht,Basistoezicht
05RT,Basistoezicht,Basistoezicht
07ZZ,Basistoezicht,Basistoezicht
07XS,Basistoezicht,Basistoezicht
07CO,Basistoezicht,Basistoezicht
07CN,Basistoezicht,Basistoezicht
10QA,Basistoezicht,Basistoezicht
09AS,Basistoezicht,Basistoezicht
08ZS,Basistoezicht,Basistoezicht
06SK,Basistoezicht,Basistoezicht
06OD,Basistoezicht,Basistoezicht
05GY,Basistoezicht,Basistoezicht
05FH,Basistoezicht,Basistoezicht
03KA,Basistoezicht,Basistoezicht
03CJ,Basistoezicht,Basistoezicht
06YJ,Basistoezicht,Basistoezicht
15DF,Basistoezicht,Basistoezicht
14ZQ,Basistoezicht,Basistoezicht
03YH,Basistoezicht,Basistoezicht
03TW,Basistoezicht,Basistoezicht
04AM,Basistoezicht,Basistoezicht
04WQ,Basistoezicht,Basistoezicht
07OK,Basistoezicht,Basistoezicht
04VL,Basistoezicht,Basistoezicht
07NE,Basistoezicht,Basistoezicht
15BW,Basistoezicht,Basistoezicht
09JH,Basistoezicht
07LS,Basistoezicht
07IA,Basistoezicht
06YK,Basistoezicht
06VJ,Basistoezicht
06FJ,Basistoezicht
06EE,Basistoezicht
03IA,Basistoezicht
03HB,Basistoezicht
15XC,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15UU,Basistoezicht,Basistoezicht
15SP,Basistoezicht,Basistoezicht
15NS,Basistoezicht,Basistoezicht
12FY,Basistoezicht,Basistoezicht
12FB,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11VK,Basistoezicht,Basistoezicht
11JV,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11EY,Basistoezicht,Basistoezicht
10XE,Basistoezicht,Basistoezicht
07ZN,Basistoezicht,Basistoezicht
13JQ,Basistoezicht,Basistoezicht
12IT,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12IT,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11OA,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11OA,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11OA,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
21LW,Basistoezicht,Basistoezicht
18GB,Basistoezicht,Basistoezicht
15VN,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15TF,Basistoezicht,Basistoezicht
15LA,Basistoezicht,Basistoezicht
15JI,Basistoezicht,Basistoezicht
15IH,Basistoezicht,Basistoezicht
15AU,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14MT,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14MT,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14IP,Basistoezicht,Basistoezicht
14EX,Basistoezicht,Basistoezicht
05ZQ,Basistoezicht,Basistoezicht
04GK,Basistoezicht,Basistoezicht
03CT,Basistoezicht,Basistoezicht
18UE,Basistoezicht,Basistoezicht
18TS,Basistoezicht,Basistoezicht
18TC,Basistoezicht,Basistoezicht
18SH,Basistoezicht,Basistoezicht
18RG,Basistoezicht,Basistoezicht
18QE,Basistoezicht,Basistoezicht
18PA,Basistoezicht,Basistoezicht
04HB,Basistoezicht,Basistoezicht
12RI,Basistoezicht,Basistoezicht
12IY,Basistoezicht,Basistoezicht
11ZM,Basistoezicht,Basistoezicht
11OE,Basistoezicht,Basistoezicht
10MB,Basistoezicht,Basistoezicht
18SI,Basistoezicht,Basistoezicht
18QG,Basistoezicht,Basistoezicht
14FX,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13WI,Basistoezicht,Basistoezicht
13OS,Basistoezicht,Basistoezicht
13JR,Basistoezicht,Basistoezicht
13EH,Basistoezicht,Basistoezicht
12RD,Basistoezicht,Basistoezicht
00HH,Basistoezicht,Basistoezicht
10AC,Basistoezicht,Basistoezicht
09EE,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
03TJ,Basistoezicht,Basistoezicht
03OR,Basistoezicht,Basistoezicht
02ZY,Basistoezicht,Basistoezicht
18GT,Basistoezicht,Basistoezicht
18DZ,Basistoezicht,Basistoezicht
13QM,Basistoezicht,Basistoezicht
13LV,Basistoezicht,Basistoezicht
13BB,Basistoezicht,Basistoezicht
12VB,Basistoezicht,Basistoezicht
11UA,Basistoezicht,Basistoezicht
11IJ,Basistoezicht,Basistoezicht
08WF,Basistoezicht,Basistoezicht
07YS,Basistoezicht,Basistoezicht
07MR,Basistoezicht,Basistoezicht
07BZ,Basistoezicht,Basistoezicht
05VI,Basistoezicht,Basistoezicht
05QD,Basistoezicht,Basistoezicht
14YS,Basistoezicht,Basistoezicht
10ZS,Basistoezicht,Basistoezicht
10XC,Basistoezicht,Basistoezicht
10JU,Basistoezicht,Basistoezicht
