BRIN,financieel,overig
27YW,Basistoezicht
26AE,Basistoezicht
21LX,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18LQ,Basistoezicht
18GD,Basistoezicht
14MU,Basistoezicht
14HR,Basistoezicht
14BV,Basistoezicht
13YO,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13WB,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13SN,Basistoezicht
13RB,Basistoezicht
13OJ,Basistoezicht
12ID,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
30XM,Basistoezicht,Basistoezicht
07YM,Basistoezicht,Basistoezicht
07NZ,Basistoezicht,Basistoezicht
07NM,Basistoezicht,Basistoezicht
07CB,Basistoezicht,Basistoezicht
07AE,Basistoezicht,Basistoezicht
05TI,Basistoezicht,Basistoezicht
05SB,Basistoezicht,Basistoezicht
05QU,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
05MQ,Basistoezicht,Basistoezicht
04RX,Basistoezicht,Basistoezicht
04PW,Basistoezicht,Basistoezicht
04OR,Basistoezicht,Basistoezicht
04MD,Basistoezicht,Basistoezicht
30KD,Basistoezicht,Basistoezicht
07XH,Basistoezicht,Basistoezicht
07PE,Basistoezicht,Basistoezicht
06ET,Basistoezicht,Basistoezicht
06ES,Basistoezicht,Basistoezicht
11HR,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
10BR,Basistoezicht,Basistoezicht
27XB,Basistoezicht,Basistoezicht
19MA,Basistoezicht,Basistoezicht
19KI,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
07YP,Basistoezicht,Basistoezicht
05QH,Basistoezicht,Basistoezicht
05OQ,Basistoezicht,Basistoezicht
11AQ,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17RO,Basistoezicht,Basistoezicht
22KG,Basistoezicht,Basistoezicht
21QE,Basistoezicht,Basistoezicht
16AU,Basistoezicht,Basistoezicht
15YY,Basistoezicht,Basistoezicht
15WV,Basistoezicht,Basistoezicht
15UO,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15SH,Basistoezicht,Basistoezicht
15PX,Basistoezicht,Basistoezicht
15NJ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15KV,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15IC,Basistoezicht,Basistoezicht
14MM,Basistoezicht,Basistoezicht
11FM,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
09YU,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
09CP,Basistoezicht,Basistoezicht
04TC,Basistoezicht,Basistoezicht
08TM,Basistoezicht,Basistoezicht
29YF,Basistoezicht,Basistoezicht
29YC,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
05IJ,Basistoezicht,Basistoezicht
24NY,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
24NX,Basistoezicht,Basistoezicht
20KW,Basistoezicht,Basistoezicht
20HQ,Basistoezicht,Basistoezicht
20HA,Basistoezicht,Basistoezicht
20FK,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19DS,Basistoezicht,Basistoezicht
19DQ,Basistoezicht,Basistoezicht
19DN,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19DN,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19CT,Basistoezicht,Basistoezicht
19CF,Basistoezicht,Basistoezicht
19CB,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19BU,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19BU,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19BE,Basistoezicht,Basistoezicht
19AF,Basistoezicht,Basistoezicht
18ZU,Basistoezicht,Basistoezicht
18ZH,Basistoezicht,Basistoezicht
18WX,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18WG,Basistoezicht,Basistoezicht
18VR,Basistoezicht,Basistoezicht
18VF,Basistoezicht,Zwak
18UM,Basistoezicht,Zwak, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18TM,Basistoezicht,Basistoezicht
18SV,Basistoezicht,Basistoezicht
18QZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18QZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18PX,Zwak,Zwak, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18OR,Basistoezicht,Basistoezicht
18LX,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18LX,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18GY,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18EE,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
18BO,Basistoezicht,Basistoezicht
18BL,Basistoezicht,Basistoezicht
17PN,Basistoezicht,Basistoezicht
17OY,Basistoezicht,Basistoezicht
17OJ,Basistoezicht,Basistoezicht
17NU,Basistoezicht,Basistoezicht
17NJ,Basistoezicht,Basistoezicht
17MV,Basistoezicht,Basistoezicht
17LO,Basistoezicht,Basistoezicht
17JH,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17JH,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17FY,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17FH,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17EO,Basistoezicht,Basistoezicht
16JC,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16JC,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14JR,Basistoezicht,Basistoezicht
14HB,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14EJ,Basistoezicht,Basistoezicht
13QN,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13LW,Basistoezicht,Basistoezicht
13BC,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13BC,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12VC,Basistoezicht,Basistoezicht
12DY,Basistoezicht,Basistoezicht
11UB,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11SY,Basistoezicht,Basistoezicht
10UF,Basistoezicht,Basistoezicht
09GQ,Basistoezicht,Basistoezicht
08GN,Basistoezicht,Basistoezicht
06BG,Basistoezicht,Basistoezicht
03DX,Basistoezicht,Zwak
00DO,Basistoezicht,Basistoezicht
12MR,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11HV,Basistoezicht,Basistoezicht
23TT,Basistoezicht,Basistoezicht
14YV,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14YV,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
