BEVOEGD GEZAG NUMMER;BEVOEGD GEZAG NAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;ADMINISTRATIEKANTOORNUMMER;SOORT PRIMAIR ONDERWIJS
20671;Westlandse Stichting Katholiek Onderwijs (WSKO);De Ruijtbaan;83;2685 RS;POELDIJK;1783;WESTLAND;Rooms-Katholiek;0174280446;www.wsko.nl;De Ruijtbaan;83;2685 RS;POELDIJK;401;BO
20905;Ver. voor Chr. Basis-Onderwijs Instituut Schreuder;Van de Veldestraat;10;1071 CW;AMSTERDAM;0363;AMSTERDAM;Protestants-Christelijk;0206623388;                                                                                ;Van de Veldestraat;10;1071 CW;AMSTERDAM;222;BO
20970;Amsterdamse Schoolver. v. Opv. en Onderwijs 'A.S.V.O.';Frederiksplein;37;1017 XL;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0206400982;                                                                                ;Frederiksplein;37;1017 XL;AMSTERDAM;222;BO
21464;Stichting Joodse Scholengem.sch. J.B.O.;Noordbrabantstraat;15;1083 BE;AMSTERDAM;0363;AMSTERDAM;Joods;0206444191;www.jbo.nl;Postbus;87058;1080 JB;AMSTERDAM;222;BO
21478;Ver. tot Verstr. van Onderwijs op Gereformeerde Grondslag;Duikerlaan;402;2903 AC;CAPELLE AAN DEN IJSSEL;0502;CAPELLE AAN DEN IJSSEL;Protestants-Christelijk;0104582706;www.ebenhaezer-capelle.nl;Postbus;66;2900 AB;CAPELLE AAN DEN IJSSEL;165;BO
21657;Stichting Vitus Zuid;Toledolaan;3;5629 CC;EINDHOVEN;0772;EINDHOVEN;Overige;0402902345;www.vituszuid.nl;Postbus;1377;5602 BJ;EINDHOVEN;413;SO + VSO
21679;Stichting VierTaal;Jan Sluijtersstraat;3;1062 CJ;AMSTERDAM;0363;AMSTERDAM;Openbaar;0206698194;www.viertaal.nl;Postbus;59264;1040 KG;AMSTERDAM;780;SO + VSO
21712;Stichting 's Heeren Loo Zorggroep;Berkenweg;11;3818 LA;AMERSFOORT;0307;AMERSFOORT;Protestants-Christelijk;0880370001;www.sheerenloo.nl;Postbus;647;3800 AP;AMERSFOORT;954;VSO
21881;Stichting Speciaal Onderwijs Amersfoort en Omstreken;Dorresteinseweg;7;3817 GA;AMERSFOORT;0307;AMERSFOORT;Algemeen bijzonder;0334625065;www.stichtingso.nl;Dorresteinseweg;7;3817 GA;AMERSFOORT;136;SBO
22091;Stichting Openbaar Onderwijs Velswijk;Decanijeweg;3;7251 BP;VORDEN;1876;BRONCKHORST;Openbaar;0575462573;                                                                                ;Decanijeweg;3;7251 BP;VORDEN;744;BO
22453;SAM, Stichting voor Speciaal Basisonderwijs;Boddens Hosangstraat;98;7002 JA;DOETINCHEM;0222;DOETINCHEM;Rooms-Katholiek;0314364805;www.sbosam.nl;Boddens Hosangstraat;98;7002 JA;DOETINCHEM;744;SBO
22622;Ver voor Christ. Basisonderw. Laat de kinderen tot Mij komen;Verlengde Kerkweg;23;2985 AZ;RIDDERKERK;0597;RIDDERKERK;Protestants-Christelijk;0180423525;www.rehobothschool-ridderkerk.nl;Verlengde Kerkweg;23;2985 AZ;RIDDERKERK;165;BO
22725;Stg. v. Interconfessioneel en Katholiek Onderwijs;Nassaulaan;72;3116 EX;SCHIEDAM;0606;SCHIEDAM;Samenwerking PC, RK;0104264830;www.siko.nl;Postbus;80;3360 AB;SLIEDRECHT;136;BO
22765;Ver. Verstrekken Onderwijs op Gereformeerde Grondslag Lisse;Schoolstraat;11-A;2161 HB;LISSE;0553;LISSE;Protestants-Christelijk;0252413099;www.deakkerlisse.nl;Schoolstraat;11-A;2161 HB;LISSE;165;BO
