BEVOEGD GEZAG NUMMER;BEVOEGD GEZAG NAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;ADMINISTRATIEKANTOORNUMMER;SOORT PRIMAIR ONDERWIJS
40350;Stichting Montessori Onderwijs Houten;Korenmolen;2;3995 AH;HOUTEN;0321;HOUTEN;Algemeen bijzonder;0306340629;www.montessori-houten.nl;Korenmolen;2;3995 AH;HOUTEN;413;BO
40355;Vereniging voor Algemeen Bijz. Montessorionderw. Haaksbergen;Weertseriet;19;7481 BC;HAAKSBERGEN;0158;HAAKSBERGEN;Algemeen bijzonder;          ;www.montessorihb.nl;Postbus;30;7480 AA;HAAKSBERGEN;744;BO
40363;Stg. Alg. Bijzonder Onderwijs Hoorn;Akkerwinde;57;1689 NV;ZWAAG;0405;HOORN;Algemeen bijzonder;0229232342;www.montessori-deflierefluiter.nl;Postbus;429;1620 AK;HOORN NH;222;BO
40367;Stichting Kristallis;Industrieweg;50;6541 TW;NIJMEGEN;0268;NIJMEGEN;Algemeen bijzonder;0412626300;www.kristallis.nl;Postbus;53;6500 AB;NIJMEGEN;688;VSO
40377;Stichting Unicoz onderwijsgroep;Bredewater;4;2715 CA;ZOETERMEER;0637;ZOETERMEER;Protestants-Christelijk;0793208830;www.unicoz.nl;Bredewater;4;2715 CA;ZOETERMEER;950;BO + SBO
40378;Stg. Kath. en Prot.-Chr. Onderw. Eindhov. e.o.;Vonderweg;12;5616 RM;EINDHOVEN;0772;EINDHOVEN;Algemeen bijzonder;0402595320;www.skpo.nl;Vonderweg;12;5616 RM;EINDHOVEN;   ;BO + SBO
40389;Stichting Islamitisch Onderwijs Iqra;Hoogoord;257;1102 CN;AMSTERDAM;0363;AMSTERDAM;Islamitisch;0206960948;                                                                                ;Hoogoord;257;1102 CN;AMSTERDAM;136;BO
40390;Stichting Islamitisch Onderwijs Utrecht;Marnixlaan;362;3552 HM;UTRECHT;0344;UTRECHT;Islamitisch;0302440720;www.aboedaoedschool.nl;Postbus;11007;3505 BA;UTRECHT;136;BO
40400;Stichting Islamitische Scholen El-Amal;Slotermeerlaan;69-D;1064 HA;AMSTERDAM;0363;AMSTERDAM;Islamitisch;0206111222;www.elamal.nl;Postbus;67009;1060 JA;AMSTERDAM;706;BO
40419;Stg. tot het verstr. ond. GG, uitg. Geref. in Ned. Barneveld;Schoutenstraat;109;3771 CH;BARNEVELD;0203;BARNEVELD;Algemeen bijzonder;          ;                                                                                ;Postbus;157;3770 AD;BARNEVELD;165;BO
40470;Stichting Rijdende School;Rijnstraat;74;4191 CM;GELDERMALSEN;0236;GELDERMALSEN;Algemeen bijzonder;0345572651;www.rijdendeschool.nl;Postbus;188;4190 CD;GELDERMALSEN;696;BO
40508;Stichting voor Protestants Christelijk Onderwijs te Katwijk;Abeelplein;40;2225 NH;KATWIJK ZH;0537;KATWIJK;Protestants-Christelijk;0714082504;www.stichtingpcok.nl;Postbus;2023;2220 BA;KATWIJK ZH;027;BO
40514;Stichting De Kosmos;Amsterdamseweg;41;3812 RP;AMERSFOORT;0307;AMERSFOORT;Algemeen bijzonder;0334799817;www.dekosmos.nl;Amsterdamseweg;41;3812 RP;AMERSFOORT;   ;BO
40517;Lowys Porquinstichting;Marslaan;1;4624 CT;BERGEN OP ZOOM;0748;BERGEN OP ZOOM;Rooms-Katholiek;0164230166;www.lowysporquin.nl;Postbus;543;4600 AM;BERGEN OP ZOOM;413;BO + SBO
40524;Stichting Kathol. Onderw. Tilburg ZO-;Piushaven;6;5017 AN;TILBURG;0855;TILBURG;Rooms-Katholiek;0135452555;www.skotzo.nl;Postbus;225;5000 AE;TILBURG;413;BO
40530;Stichting voor Christelijk Onderwijs te Alphen aan den Rijn en omstreken;Prinses Beatrixlaan;4;2404 XC;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Protestants-Christelijk;0172449500;www.scopescholen.nl;Postbus;166;2400 AD;ALPHEN AAN DEN RIJN;169;BO + SO + VSO
40535;Verenig. School met de Bijbel te Stolwijk;Bilwijkerweg;6-A;2821 SB;STOLWIJK;1931;KRIMPENERWAARD;Protestants-Christelijk;0182341448;www.ons-stolwijk.nl;Bilwijkerweg;6-A;2821 SB;STOLWIJK;165;BO
40540;Protestants-Christelijke Schoolvereniging Voorschoten;Bachlaan;2;2253 BA;VOORSCHOTEN;0626;VOORSCHOTEN;Protestants-Christelijk;0653278192;www.pcsv.nl;Postbus;122;2250 AC;VOORSCHOTEN;098;BO
40557;De Eenbes, Stichting Kathol., Prot.-Chr./Interc. Pr. Onderw.;Nieuwendijk;49-C;5664 HB;GELDROP;1771;GELDROP-MIERLO;Samenwerking PC, RK;0402868115;www.eenbes.nl;Postbus;151;5660 AD;GELDROP;947;BO + SBO
40558;Stichting Montessorischool Enkhuizen;Admiraliteitsweg;40;1601 ED;ENKHUIZEN;0388;ENKHUIZEN;Algemeen bijzonder;          ;www.montessori-enkhuizen.nl;Postbus;277;1600 AG;ENKHUIZEN;706;BO
40581;Stichting Interconfessioneel Basisonderwijs Uithoorn;Prinses Christinalaan;120-KTR;1421 BN;UITHOORN;0451;UITHOORN;Samenwerking PC, RK;0297562713;www.icbo-uithoorn.nl;Postbus;84;1420 AB;UITHOORN;722;BO
40586;Onderwijsstichting Esprit;Prinses Irenestraat;59;1077 WV;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205854811;www.espritscholen.nl;Prinses Irenestraat;59;1077 WV;AMSTERDAM;706;BO
40631;Stichting De Onderwijsspecialisten;Vossenstraat;6;6811 JL;ARNHEM;0202;ARNHEM;Samenwerking PC, RK, Alg. Bijz;0263537480;www.deonderwijsspecialisten.nl;Postbus;821;6800 AV;ARNHEM;673;SO + VSO
40632;Ver voor Christelijk Basisonderwijs in de Gemeenten het Bildt en Leeuwarderadeel;Beuckelaerstraat;2;9076 DA;ST.-ANNAPAROCHIE;0063;HET BILDT;Protestants-Christelijk;0518400394;                                                                                ;Postbus;21;9076 ZN;ST.-ANNAPAROCHIE;948;BO
40635;De Ver. Christ. Basisonderwijs Kollumerland c.a.;Voorstraat;14;9291 CK;KOLLUM;0079;KOLLUMERLAND CA;Protestants-Christelijk;0511723033;www.vcbokollumerland.nl;Postbus;1;9290 AA;KOLLUM;780;BO
40636;Stichting voor Christelijk Speciaal Basisonderwijs te Leeuwarden;Brandemeer;35;8918 CT;LEEUWARDEN;0080;LEEUWARDEN;Protestants-Christelijk;0582662271;www.sbo-aquamarijn.nl;Postbus;6001;8902 HA;LEEUWARDEN;948;SBO
40637;Stichting Nutsscholen Breda;Hooilaan;1;4816 EM;BREDA;0758;BREDA;Algemeen bijzonder;0765309224;www.nutsscholenbreda.nl;Hooilaan;1;4816 EM;BREDA;401;BO
40648;Ver. voor P.C. Basisonderwijs in de gem. Tytsjerksteradiel;Elte Martens Beimastr;11-A;9261 VG;EASTERMAR;0737;TYTSJERKSTERADIEL;Protestants-Christelijk;0512472594;www.pcbo-tytsjerksteradiel.nl;Postbus;1;9260 AA;EASTERMAR;780;BO
40653;Stichting Prot.-Chr. Scholen Leiden;Marienpoelstraat;4;2334 CZ;LEIDEN;0546;LEIDEN;Protestants-Christelijk;0715175551;www.pcsl.nl;Marienpoelstraat;4;2334 CZ;LEIDEN;098;BO
40655;Ver. Prot.-Chr. Basisonderw. te Hollandscheveld;De Stok;4;7913 RE;HOLLANDSCHEVELD;0118;HOOGEVEEN;Protestants-Christelijk;0528343291;www.pcbshetmozaiek.nl;Postbus;30;7913 ZG;HOLLANDSCHEVELD;951;BO
40662;Stichting Aves;Jasmijnstraat;9;8302 CL;EMMELOORD;0171;NOORDOOSTPOLDER;Samenwerking Opb., PC, RK;0527249249;www.aves.nl;Postbus;33;8300 AA;EMMELOORD;780;BO
40667;Stichting tot Stichting en Instandhouding van Scholen voor CNS;Papiermakerstraat;18-A;3881 BL;PUTTEN;0273;PUTTEN;Protestants-Christelijk;0341354445;                                                                                ;Postbus;13;3880 AA;PUTTEN;606;BO
40672;Stg. Initia, Kath.Prim.Onderw. voor Dongen en omgeving;Schoolstraat;2-A;5104 JN;DONGEN;0766;DONGEN;Rooms-Katholiek;0162310652;                                                                                ;Postbus;184;5100 AD;DONGEN;706;BO
40681;Stg PCO Bommelerwaard, Land van Heusden en Altena en Bommelerwaard;De Gaard;4;5146 AW;WAALWIJK;0867;WAALWIJK;Protestants-Christelijk;0416333069;www.het-willem.nl;De Gaard;4;5146 AW;WAALWIJK;401;BO + SBO
40706;Stichting St.-Christoffel;Kasteellaan;2;5281 CP;BOXTEL;0757;BOXTEL;Rooms-Katholiek;0411611641;www.st-christoffel.nl;Postbus;281;5280 AG;BOXTEL;   ;BO + SBO
40712;Stichting Tabijn;De Trompet;1960;1967 DB;HEEMSKERK;0396;HEEMSKERK;Samenwerking PC, RK;0251230082;www.tabijn.nl;Postbus;280;1960 AG;HEEMSKERK;299;BO
40714;Stichting Algemeen Bijzonder Basisonderwijs 't Gooi;Oud-Bussummerweg;22;1401 SP;BUSSUM;1942;GOOISE MEREN;Algemeen bijzonder;0356912698;www.vondelweb.nl;Oud-Bussummerweg;22;1401 SP;BUSSUM;744;BO
40717;Vereniging Suringar;Beeldsnijdersdreef;201;6216 EA;MAASTRICHT;0935;MAASTRICHT;Protestants-Christelijk;0433472830;www.verenigingsuringar.nl;Beeldsnijdersdreef;201;6216 EA;MAASTRICHT;638;BO
40720;Stg. Interconf. (PC/RK) B.ond. Naarden;van Limburg Stirumlaan;105;1411 BN;NAARDEN;1942;GOOISE MEREN;Samenwerking PC, RK;0356943184;www.tweemaster.nl;van Limburg Stirumlaan;105;1411 BN;NAARDEN;950;BO
40740;Stichting Vooruitstrevend Alg. Hindoe Onderwijs Nederl.;Mackaystraat;6;2571 AR;'S-GRAVENHAGE;0518;S GRAVENHAGE;Hindoeïstisch;0703841924;www.vahon.nl;Postbus;196;6400 AD;HEERLEN;401;BO
40745;Stichting Katholiek en Openbaar Onderwijs Noord Hofland;Kuyperbrink;12;2253 VX;VOORSCHOTEN;0626;VOORSCHOTEN;Samenwerking Opb., RK;0715763580;                                                                                ;Postbus;4009;2301 RA;LEIDEN;098;BO
40753;Stg. Bijzond. Scholen voor OAG Spijkenisse;Salamanderveen;352;3205 TG;SPIJKENISSE;1930;NISSEWAARD;Algemeen bijzonder;0181621734;www.montessorischool-spijkenisse.nl;Postbus;3036;3200 DA;SPIJKENISSE;706;BO
40765;De Groeiling, Stg. katholiek interconfess. primair onderw.;Aalberseplein;5;2805 EG;GOUDA;0513;GOUDA;Rooms-Katholiek;0182670051;www.degroeiling.nl;Postbus;95;2800 AB;GOUDA;098;BO + SBO
40774;Stichting PCO Hillegersberg-Schiebroek;Hilleniussingel;23;3054 EX;ROTTERDAM;0599;ROTTERDAM;Protestants-Christelijk;0104187420;www.spcohs.nl;Hilleniussingel;23;3054 EX;ROTTERDAM;706;BO
40775;Jong Leren, stichting voor confessioneel onderwijs;Cruquiusweg;42;2103 LT;HEEMSTEDE;0397;HEEMSTEDE;Samenwerking PC, RK;0235298988;www.stichtingdelasalle.nl;Postbus;320;2100 AH;HEEMSTEDE;706;BO
40777;Vereniging Christel. Onderwijs Sliedrecht;Dr. Langeveldplein;30-B;3361 HE;SLIEDRECHT;0610;SLIEDRECHT;Protestants-Christelijk;0184499519;www.vcos.nl;Postbus;225;3360 AE;SLIEDRECHT;136;BO
40788;Stichting Arlanta;Altenastreek;66;9101 BA;DOKKUM;0058;DONGERADEEL;Protestants-Christelijk;0519222045;www.arlanta.nl;Postbus;2;9100 AA;DOKKUM;780;BO + SBO
40789;Ver. v. Pr. Chr. Basisonderw. in de Gemeente Ferwerderadeel;Beuckelaerstraat;2;9076 DA;ST.-ANNAPAROCHIE;0063;HET BILDT;Protestants-Christelijk;0518400394;                                                                                ;Postbus;21;9076 ZN;ST.-ANNAPAROCHIE;951;BO
40794;Ver. Prot.-Chr. Onderwijs te Tholen en omstreken;Molenvlietsedijk;3;4691 HS;THOLEN;0716;THOLEN;Protestants-Christelijk;0166603310;www.vpcotholen.nl;Postbus;29;4690 AA;THOLEN;136;BO
40803;Onderwijsgroep Perspecto;Markt;1;4571 BG;AXEL;0715;TERNEUZEN;Samenwerking Opb., PC, RK;0114347880;www.onderwijsgroepperspecto.nl;Postbus;4;4570 AA;AXEL;950;BO + SBO
40804;Ver. interconfession. (RK/PC) bas.onderw. Wichmond/Vierakker;Baron van der Heijdenln;1;7234 SB;WICHMOND;1876;BRONCKHORST;Samenwerking PC, RK;0575441473;                                                                                ;Baron van der Heijdenln;1;7234 SB;WICHMOND;744;BO
40812;Delta, stg. voor Katholiek en Prot.-Christ. prim. onderwijs;Beverweerdlaan;3;6825 AE;ARNHEM;0202;ARNHEM;Rooms-Katholiek;0267600900;www.deltascholen.org;Postbus;2044;6802 CA;ARNHEM;606;BO + SBO
40814;STG. PRIMAIR ONDERWIJS CONDOR, stg. kath./prot.-chr. onderw.;Lindestraat;25;6573 XA;BEEK-UBBERGEN;1945;BERG EN DAL;Rooms-Katholiek;0243737909;www.spocondor.nl;Postbus;89;6573 ZH;BEEK-UBBERGEN;   ;BO
40837;Stichting Heliomare Onderwijs;Relweg;51;1949 EC;WIJK AAN ZEE;0375;BEVERWIJK;Algemeen bijzonder;0889208255;www.heliomare.nl;Relweg;51;1949 EC;WIJK AAN ZEE;   ;SO + VSO
40843;Ver. Prot. Chr. Basisonderwijs in de Gemeente Rheden;Doesburgsedijk;7;6953 AK;DIEREN;0275;RHEDEN;Protestants-Christelijk;0268200361;www.pcbo-rheden.nl;Postbus;159;7000 AD;DOETINCHEM;744;BO
40848;Stichting kath en interconf PO Gemeente Sint- Michielsgestel;Schildershof;1-A;5271 BM;SINT-MICHIELSGESTEL;0845;SINT-MICHIELSGESTEL;Rooms-Katholiek;0735944328;www.skipos.nl;Schildershof;1-A;5271 BM;SINT-MICHIELSGESTEL;   ;BO
40851;Stichting voor Christelijk Speciaal Onderwijs Groningen;Multatulistraat;91;9721 NH;GRONINGEN;0014;GRONINGEN;Protestants-Christelijk;0505250110;                                                                                ;Postbus;70130;9704 AC;GRONINGEN;948;SBO + SO + VSO
40862;Ver. St. en Instandh. v. Sch. v. Chr. Nat. Schoolonderwijs;Papiermakerstraat;18-A;3881 BL;PUTTEN;0273;PUTTEN;Protestants-Christelijk;0341354445;                                                                                ;Postbus;13;3880 AA;PUTTEN;606;BO
40865;Vereniging Jenaplanonderwijs Noord;Waterman;1;9602 MT;HOOGEZAND;0018;HOOGEZAND-SAPPEMEER;Algemeen bijzonder;0598323082;www.jenaplanschool-tvlot.nl;Postbus;16;9600 AA;HOOGEZAND;715;BO
40874;Stg. Samenwerk.best. voor KOPO Schijndel;Rietbeemdweg;16;5482 JA;SCHIJNDEL;0844;SCHIJNDEL;Rooms-Katholiek;0735432635;www.skoposschijndel.nl;Postbus;34;5480 AA;SCHIJNDEL;   ;BO + SBO
40876;Stichting Respont;Edisonweg;39;4382 NV;VLISSINGEN;0718;VLISSINGEN;Samenwerking Opb., PC, RK;0118745011;www.respont.nl;Postbus;313;4330 AH;MIDDELBURG;136;SBO + SO + VSO
40887;Ver. Stg. en Instandhouding Scholen met de Bijbel Wekerom;Dorpsplein;8;6733 AV;WEKEROM;0228;EDE;Protestants-Christelijk;0318461550;www.smdbwekerom.nl;Dorpsplein;8;6733 AV;WEKEROM;165;BO
40888;Stichting Catent;Schrevenweg;6;8024 HA;ZWOLLE;0193;ZWOLLE;Rooms-Katholiek;0383031844;www.catent.nl;Postbus;290;8000 AG;ZWOLLE;780;BO + SBO
40894;mijnplein, stg. voor bijz. po in Salland;Monumentstraat;55-A;8102 AK;RAALTE;0177;RAALTE;Samenwerking PC, RK, Alg. Bijz;0572352635;www.mijnplein.nl;Postbus;143;8100 AC;RAALTE;780;BO + SBO + SO + VSO
40901;Stichting SBO de Schilderspoort;Mercurion;36;6903 PZ;ZEVENAAR;0299;ZEVENAAR;Algemeen bijzonder;0316527249;www.schilderspoort.nl;Postbus;159;7000 AD;DOETINCHEM;744;SBO
40903;Stichting Katholiek Onderwijs Losser en Overdinkel;Kloppenstraat;75;7581 EB;LOSSER;0168;LOSSER;Rooms-Katholiek;0535364271;www.skolo.nl;Postbus;46;7580 AA;LOSSER;722;BO
40908;Stichting Spec. Onderw. Midden Nederland;Professor Bronkhorstlaan;22;3723 MB;BILTHOVEN;0310;DE BILT;Algemeen bijzonder;0302287620;www.bergenbosch-school.nl;Professor Bronkhorstlaan;22;3723 MB;BILTHOVEN;954;SO + VSO
40928;Laurentius Stichting voor Kathol. Primair Onderwijs;Burgemeestersrand;59;2625 NV;DELFT;0503;DELFT;Rooms-Katholiek;0152511440;www.laurentiusstichting.nl;Postbus;649;2600 AP;DELFT;065;BO + SBO
40934;Vivente, Stichting voor Christel. Prim. Onderwijs;Rechterland;1;8024 AH;ZWOLLE;0193;ZWOLLE;Protestants-Christelijk;0383556570;www.vivente.nu;Postbus;40220;8004 DE;ZWOLLE;   ;BO + SBO
40941;'De Oude Vrijheid', St. Kath. Onderw. Hilvarenbeek;Schoolstraat;38;5081 VH;HILVARENBEEK;0798;HILVARENBEEK;Rooms-Katholiek;0135050639;www.deoudevrijheid.nl;Postbus;88;5080 AB;HILVARENBEEK;   ;BO
40945;Gereformeerde Schoolvereniging Veluwe Plus;Burg de Beaufortweg;16;3833 AG;LEUSDEN;0327;LEUSDEN;Gereformeerd vrijgemaakt;0334324258;www.veluweplus.nl;Burg de Beaufortweg;16;3833 AG;LEUSDEN;638;BO
40946;Stichting voor Prot. Chr. Prim.Onderw. CHRONO;Stelling;8;7773 ND;HARDENBERG;0160;HARDENBERG;Protestants-Christelijk;0523272821;www.chronoscholen.nl;Stelling;8;7773 ND;HARDENBERG;722;BO + SBO
40947;Stg. Kath. Bijzonder Onderwijs Oisterwijk/Moergestel;Schoolstraat;5;5061 XA;OISTERWIJK;0824;OISTERWIJK;Rooms-Katholiek;0135230833;www.stgboom.nl;Postbus;220;5060 AE;OISTERWIJK;947;BO + SBO
40950;Stichting Kath. Onderw. Flevoland-Veluwe;Meentweg;14-D;8224 BP;LELYSTAD;0995;LELYSTAD;Rooms-Katholiek;0320225040;www.skofv.nl;Postbus;608;8200 AP;LELYSTAD;780;BO
40959;Primas-Scholengroep;Tramstraat;31;4371 BW;KOUDEKERKE;0717;VEERE;Protestants-Christelijk;0118569191;www.primas-scholengroep.nl;Tramstraat;31;4371 BW;KOUDEKERKE;413;BO
40964;Stg Departement Oldenzaal eo, Mij. tot Nut van 't Algemeen;Hengelosestraat;31;7572 BM;OLDENZAAL;0173;OLDENZAAL;Algemeen bijzonder;0541530963;www.nutsschool-oldenzaal.nl;Hengelosestraat;31;7572 BM;OLDENZAAL;722;BO
40967;Sophia Stichting Katholiek Basisonderw. Duin-/Bollenstr.;Leidsevaart;2;2215 RE;VOORHOUT;1525;TEYLINGEN;Rooms-Katholiek;0252434020;www.sophiascholen.nl;Postbus;98;2215 ZH;VOORHOUT;   ;BO
40969;St. Samenwerkende Basisscholen Alkemade;Watergang;1-B;2377 BT;OUDE WETERING;1884;KAAG EN BRAASSEM;Samenwerking PC, RK;0713311767;www.ssba.net;Watergang;1-B;2377 BT;OUDE WETERING;136;BO
40971;Stichting Tangent, Palet van basisscholen en peuterspeelz;J. Asselbergsweg;80;5026 RR;TILBURG;0855;TILBURG;Rooms-Katholiek;0135229250;www.tangent.nl;J. Asselbergsweg;80;5026 RR;TILBURG;638;BO
40972;Stichting primair onderwijs Fluvius;Beverweerdlaan;3;6825 AE;ARNHEM;0202;ARNHEM;Samenwerking PC, RK;0267600900;www.fluvius.nl;Postbus;2044;6802 CA;ARNHEM;706;BO + SBO
40974;Stg. Katholiek Basisonderwijs De Veenplas;Ambroziolaan;32;2441 AD;NIEUWVEEN;0569;NIEUWKOOP;Rooms-Katholiek;0172570204;www.veenplas.nl;Ambroziolaan;32;2441 AD;NIEUWVEEN;098;BO
40975;Vereniging voor Gereformeerd Primair Onderwijs Haal;Burg de Beaufortweg;16;3833 AG;LEUSDEN;0327;LEUSDEN;Gereformeerd vrijgemaakt;0334324259;www.haal.nl;Burg de Beaufortweg;16;3833 AG;LEUSDEN;638;BO
40980;Stichting v. Alg. Bijz. Basis Onderwijs;Marslaan;1;4624 CT;BERGEN OP ZOOM;0748;BERGEN OP ZOOM;Algemeen bijzonder;0164237557;www.abboscholen.nl;Postbus;648;4600 AP;BERGEN OP ZOOM;413;BO
40982;Stichting Katholiek Onderwijs De Beerzen, Oirschot/Spoordonk;Van Tuldenstraat;2-A;5688 DB;OIRSCHOT;0823;OIRSCHOT;Rooms-Katholiek;0499550517;www.skobos.nl;Postbus;55;5688 ZH;OIRSCHOT;947;BO
40987;TRIADE stichting voor Kathol. primair onderwijs;Graaf Huynlaan;8;6161 EZ;GELEEN;1883;SITTARD-GELEEN;Rooms-Katholiek;0464789320;www.stichtingtriade.nl;Postbus;89;6160 AB;GELEEN;510;BO
40988;Ver. van Prot. Chr. Onderwijs in de Gemeente Dalfsen;Brethouwerstraat;4;7721 XN;DALFSEN;0148;DALFSEN;Protestants-Christelijk;0529432341;www.cbsdespiegel-dalfsen.nl;Brethouwerstraat;4;7721 XN;DALFSEN;715;BO
40994;Stichting Evangelische Basisscholen II;Pythagorasstraat;9;6836 GA;ARNHEM;0202;ARNHEM;Evangelisch;0263890247;www.ebs-derank.nl;Pythagorasstraat;9;6836 GA;ARNHEM;638;BO
41000;Bisschop Möller Stichting;Archipelweg;135;8921 VX;LEEUWARDEN;0080;LEEUWARDEN;Rooms-Katholiek;0588700078;www.bisschopmollerstichting.nl;Archipelweg;135;8921 VX;LEEUWARDEN;780;BO
41001;Stg. Prot. Chr. Primair Onderwijs Midden-Brabant;Hooilaan;1;4816 EM;BREDA;0758;BREDA;Protestants-Christelijk;0765045800;www.pcpomiddenbrabant.nl;Hooilaan;1;4816 EM;BREDA;401;BO
41005;Stichting Noventa Onderwijs;Ried;11;9285 KK;BUITENPOST;0059;ACHTKARSPELEN;Protestants-Christelijk;0511542540;www.noventa.nl;Postbus;95;9285 ZW;BUITENPOST;780;BO
41008;Aloysius Stichting Onderwijs Jeugdzorg;Leidsevaart;2;2215 RE;VOORHOUT;1525;TEYLINGEN;Rooms-Katholiek;0252434000;www.aloysiusstichting.nl;Postbus;98;2215 ZH;VOORHOUT;136;SBO + SO + VSO
41011;Stg. Scholengroep GelderVeste, voor christelijk basisonderw.;Decanijeweg;3;7251 BP;VORDEN;1876;BRONCKHORST;Protestants-Christelijk;0575462573;www.gelderveste.nl;Decanijeweg;3;7251 BP;VORDEN;744;BO
41012;Stichting Confessioneel Primair Onderwijs Waterland;Wielingenstraat;111;1441 ZN;PURMEREND;0439;PURMEREND;Samenwerking PC, RK;0299479699;www.cpow.nl;Postbus;42;1440 AA;PURMEREND;706;BO + SBO
41013;Stichting Algem. Toegankel. Onderwijs 3-Stromenland;Nijmeegsestraat;1;6691 CJ;GENDT;1705;LINGEWAARD;Openbaar;0481481283;www.stichtingatos.nl;Postbus;91;6850 AB;HUISSEN;606;BO
41018;Stichting Fortior,;Wylrehofweg;11;5912 PM;VENLO;0983;VENLO;Samenwerking PC, RK;0773210002;www.fortior.nl;Postbus;680;5900 AR;VENLO;950;BO + SBO
41020;Stichting Kathol. Prim. Onderwijs Novum;Maxend;6;5388 GL;NISTELRODE;1721;BERNHEZE;Rooms-Katholiek;0412611366;www.maxend.nl;Postbus;65;5388 ZH;NISTELRODE;401;BO
41023;Amsterdamse Stichting voor Katholiek, P.-c. en Interconfessioneel onderwijs;Kalfjeslaan;380;1081 JA;AMSTERDAM;0363;AMSTERDAM;Rooms-Katholiek;0203013888;www.askoscholen.nl;Postbus;87591;1080 JN;AMSTERDAM;   ;BO
41025;Ver. voor Geref. Prim. Onderw. Noordoost-Nederland;Industrieweg;22;9804 TG;NOORDHORN;0056;ZUIDHORN;Gereformeerd vrijgemaakt;0598352184;www.vgponn.nl;Postbus;6;9800 AA;ZUIDHORN;   ;BO
41039;Ver. voor Prot. Christ. B.O. in de gemeente Dantumadiel;Altenastreek;66;9101 BA;DOKKUM;0058;DONGERADEEL;Protestants-Christelijk;0519221702;www.pcbodantumadeel.nl;Postbus;203;9100 AE;DOKKUM;780;BO
41047;Stichting SBO De Vlieger;Boerhaavelaan;298;2334 EZ;LEIDEN;0546;LEIDEN;Samenwerking Opb., PC, RK, Alg;0715174664;www.sbodevlieger.nl;Boerhaavelaan;298;2334 EZ;LEIDEN;098;SBO
41052;Vereniging voor Protestants Christelijk Basisonderwijs in de gemeente Coevorden;van Pallandtlaan;7-9;7742 WJ;COEVORDEN;0109;COEVORDEN;Protestants-Christelijk;0524512148;www.vpcbo-coevorden.nl;van Pallandtlaan;7-9;7742 WJ;COEVORDEN;606;BO
41053;Stichting Groningse Schoolvereniging;Sweelincklaan;4;9722 JV;GRONINGEN;0014;GRONINGEN;Algemeen bijzonder;0505270818;www.g-s-v.nl;Sweelincklaan;4;9722 JV;GRONINGEN;948;BO
41081;Montessori Vereniging VREUGD EN RUST;Montessoristraat;1;2273 AC;VOORBURG;1916;LEIDSCHENDAM-VOORBURG;Algemeen bijzonder;0703271123;                                                                                ;Cicerostrook;1;2493 ZL;'S-GRAVENHAGE;065;BO
41090;Stichting R.K. Onderwijs Bommelerwaard;Koningin Wilhelminastr;93;5321 TB;HEDEL;0263;MAASDRIEL;Rooms-Katholiek;0735997171;www.bommelerwijs.nl;Koningin Wilhelminastr;93;5321 TB;HEDEL;947;BO
41125;Iris, Vereniging voor Christelijk Onderwijs;Bouwkamp;2-I;8266 KL;KAMPEN;0166;KAMPEN;Protestants-Christelijk;0383333898;www.iriskampen.nl;Postbus;1014;8260 BA;KAMPEN;780;BO
41127;Stichting Christelijke Scholengroep De Waard;Maseratilaan;14;3261 NA;OUD-BEIJERLAND;0584;OUD-BEIJERLAND;Protestants-Christelijk;0186621461;www.csgdewaard.nl;Maseratilaan;14;3261 NA;OUD-BEIJERLAND;   ;BO + SBO + SO + VSO
41138;Vereniging voor PC PO Vechtstreek en Venen;Schepersweg;6-D;3621 JK;BREUKELEN UT;1904;STICHTSE VECHT;Protestants-Christelijk;0346264847;www.vechtstreekenvenen.nl;Postbus;7;3620 AA;BREUKELEN UT;136;BO
41148;Stichting Katholieke Onderwijsbelangen Rivierenland;Hondsroos;4;4007 TJ;TIEL;0281;TIEL;Rooms-Katholiek;0344632849;www.skor-scholen.nl;Hondsroos;4;4007 TJ;TIEL;706;BO
41154;Stg. Chr. Prim. Onderwijs voor Veenendaal en omgeving;Landjuweel;16-5;3905 PG;VEENENDAAL;0345;VEENENDAAL;Protestants-Christelijk;0318519076;www.cpov.nl;Landjuweel;16-5;3905 PG;VEENENDAAL;606;BO + SBO
41167;Stg. voor Montessori-onderwijs Zuidoost Nederland;Noordkade;2;6003 ND;WEERT;0988;WEERT;Overige;0495547998;www.mozon.nl;Noordkade;2-F;6003 ND;WEERT;947;BO
41168;Verenig. voor Geref. Primair Onderwijs 'De Zevenster';Campus;5;8017 CB;ZWOLLE;0193;ZWOLLE;Gereformeerd vrijgemaakt;0522241082;www.dezevenster.nl;Postbus;93;7940 AB;MEPPEL;613;BO
41184;Dordtse Schoolvereniging voor Basisonderw. op Alg. Grondslag;Trapezium;210;3364 DL;SLIEDRECHT;0610;SLIEDRECHT;Algemeen bijzonder;0184412507;www.groenendijk.nl;Postbus;80;3360 AB;SLIEDRECHT;136;BO
